game_id,season,week,start_date,team,side,opponent,is_ap_ranked,ap_rank,pregame_elo,pregame_elo_rank,elo_source,fbs_field_size,timing_status,strength_score,strength_tier,top_percent
400756903,2015,1,2015-09-04T23:00:00.000Z,Syracuse,home,Rhode Island,False,,1427,80,WEEKLY_CARRY,128,PREGAME_SAFE,38,Below Average,63
400760491,2015,1,2015-09-04T23:00:00.000Z,Army,home,Fordham,False,,1290,114,WEEKLY_CARRY,128,PREGAME_SAFE,11,Weak,90
400756887,2015,1,2015-09-05T00:00:00.000Z,Oregon State,home,Weber State,False,,1459,74,WEEKLY_CARRY,128,PREGAME_SAFE,43,Below Average,58
400756888,2015,1,2015-09-05T02:26:00.000Z,Boise State,home,Washington,True,23,1716,19,GAME_PREGAME,128,PREGAME_SAFE,86,Strong,15
400756888,2015,1,2015-09-05T02:26:00.000Z,Washington,away,Boise State,False,,1625,35,GAME_PREGAME,128,PREGAME_SAFE,73,Above Average,28
400603831,2015,1,2015-09-05T16:00:00.000Z,Georgia,home,UL Monroe,True,9,1856,6,GAME_PREGAME,128,PREGAME_SAFE,96,Elite,5
400603831,2015,1,2015-09-05T16:00:00.000Z,UL Monroe,away,Georgia,False,,1312,106,GAME_PREGAME,128,PREGAME_SAFE,17,Weak,84
400764860,2015,1,2015-09-05T16:00:00.000Z,Navy,home,Colgate,False,,1545,54,WEEKLY_CARRY,128,PREGAME_SAFE,58,Above Average,43
400603835,2015,1,2015-09-05T16:00:00.000Z,Mississippi,home,UT Martin,True,17,1687,24,WEEKLY_CARRY,128,PREGAME_SAFE,82,Strong,19
400763494,2015,1,2015-09-05T16:00:00.000Z,Maryland,home,Richmond,False,,1495,64,WEEKLY_CARRY,128,PREGAME_SAFE,50,Above Average,51
400756891,2015,1,2015-09-05T16:00:00.000Z,Northwestern,home,Stanford,False,,1482,69,GAME_PREGAME,128,PREGAME_SAFE,46,Below Average,55
400756891,2015,1,2015-09-05T16:00:00.000Z,Stanford,away,Northwestern,True,21,1747,14,GAME_PREGAME,128,PREGAME_SAFE,89,Strong,12
400763496,2015,1,2015-09-05T16:00:00.000Z,Rutgers,home,Norfolk State,False,,1477,70,WEEKLY_CARRY,128,PREGAME_SAFE,45,Below Average,56
400763473,2015,1,2015-09-05T16:00:00.000Z,Iowa,home,Illinois State,False,,1566,49,WEEKLY_CARRY,128,PREGAME_SAFE,62,Above Average,39
400763401,2015,1,2015-09-05T16:00:00.000Z,Kansas,home,South Dakota State,False,,1310,109,WEEKLY_CARRY,128,PREGAME_SAFE,15,Weak,86
400756898,2015,1,2015-09-05T16:30:00.000Z,Clemson,home,Wofford,True,12,1768,10,WEEKLY_CARRY,128,PREGAME_SAFE,93,Elite,8
400756897,2015,1,2015-09-05T17:00:00.000Z,Boston College,home,Maine,False,,1531,57,WEEKLY_CARRY,128,PREGAME_SAFE,56,Above Average,45
400756902,2015,1,2015-09-05T17:00:00.000Z,Pittsburgh,home,Youngstown State,False,,1531,57,WEEKLY_CARRY,128,PREGAME_SAFE,56,Above Average,45
400835430,2015,1,2015-09-05T18:00:00.000Z,Illinois,home,Kent State,False,,1406,85,GAME_PREGAME,128,PREGAME_SAFE,34,Below Average,67
400835430,2015,1,2015-09-05T18:00:00.000Z,Kent State,away,Illinois,False,,1273,117,GAME_PREGAME,128,PREGAME_SAFE,9,Weak,92
400756889,2015,1,2015-09-05T18:00:00.000Z,Washington State,home,Portland State,False,,1421,81,WEEKLY_CARRY,128,PREGAME_SAFE,37,Below Average,64
400763495,2015,1,2015-09-05T19:30:00.000Z,Nebraska,home,BYU,False,,1673,27,GAME_PREGAME,128,PREGAME_SAFE,80,Strong,21
400763495,2015,1,2015-09-05T19:30:00.000Z,BYU,away,Nebraska,False,,1569,47,GAME_PREGAME,128,PREGAME_SAFE,64,Above Average,37
400787111,2015,1,2015-09-05T19:30:00.000Z,Air Force,home,Morgan State,False,,1455,75,WEEKLY_CARRY,128,PREGAME_SAFE,42,Below Average,59
400763406,2015,1,2015-09-05T19:30:00.000Z,Texas Tech,home,Sam Houston,False,,1405,86,WEEKLY_CARRY,128,PREGAME_SAFE,33,Below Average,68
400763497,2015,1,2015-09-05T19:30:00.000Z,Temple,home,Penn State,False,,1489,67,GAME_PREGAME,128,PREGAME_SAFE,48,Below Average,53
400763497,2015,1,2015-09-05T19:30:00.000Z,Penn State,away,Temple,False,,1556,52,GAME_PREGAME,128,PREGAME_SAFE,60,Above Average,41
400787412,2015,1,2015-09-05T19:30:00.000Z,App State,home,Howard,False,,1483,68,WEEKLY_CARRY,128,PREGAME_SAFE,47,Below Average,54
400787303,2015,1,2015-09-05T19:30:00.000Z,Buffalo,home,UAlbany,False,,1402,87,WEEKLY_CARRY,128,PREGAME_SAFE,32,Below Average,69
