season,effective_week,team,is_ap_ranked,ap_rank,ap_points,ap_first_place_votes,elo_rating,elo_rank,fbs_field_size,ap_source_week,elo_snapshot_week,timing_status
2018,3,Colorado State,False,,,,1414,82,130,3,3,PREGAME_SAFE
2018,3,Connecticut,False,,,,1098,125,130,3,3,PREGAME_SAFE
2018,3,Duke,False,,,,1671,26,130,3,3,PREGAME_SAFE
2018,3,East Carolina,False,,,,1326,101,130,3,3,PREGAME_SAFE
2018,3,Eastern Michigan,False,,,,1439,77,130,3,3,PREGAME_SAFE
2018,3,Florida,False,,,,1503,65,130,3,3,PREGAME_SAFE
2018,3,Florida Atlantic,False,,,,1531,60,130,3,3,PREGAME_SAFE
2018,3,Florida International,False,,,,1371,97,130,3,3,PREGAME_SAFE
2018,3,Florida State,False,,,,1604,43,130,3,3,PREGAME_SAFE
2018,3,Fresno State,False,,,,1513,62,130,3,3,PREGAME_SAFE
2018,3,Georgia,True,3,1407,0,1906,5,130,3,3,PREGAME_SAFE
2018,3,Georgia Southern,False,,,,1408,84,130,3,3,PREGAME_SAFE
2018,3,Georgia State,False,,,,1268,113,130,3,3,PREGAME_SAFE
2018,3,Georgia Tech,False,,,,1544,59,130,3,3,PREGAME_SAFE
2018,3,Hawai'i,False,,,,1358,99,130,3,3,PREGAME_SAFE
2018,3,Houston,False,,,,1637,32,130,3,3,PREGAME_SAFE
2018,3,Illinois,False,,,,1305,106,130,3,3,PREGAME_SAFE
2018,3,Indiana,False,,,,1562,52,130,3,3,PREGAME_SAFE
2018,3,Iowa,False,,,,1765,17,130,3,3,PREGAME_SAFE
2018,3,Iowa State,False,,,,1636,33,130,3,3,PREGAME_SAFE
2018,3,Kansas,False,,,,1252,115,130,3,3,PREGAME_SAFE
2018,3,Kansas State,False,,,,1582,47,130,3,3,PREGAME_SAFE
2018,3,Kent State,False,,,,1129,123,130,3,3,PREGAME_SAFE
2018,3,Kentucky,False,,,,1510,63,130,3,3,PREGAME_SAFE
2018,3,LSU,True,12,830,0,1774,16,130,3,3,PREGAME_SAFE
2018,3,Liberty,False,,,,1474,70,130,3,3,PREGAME_SAFE
2018,3,Louisiana,False,,,,1231,117,130,3,3,PREGAME_SAFE
2018,3,Louisiana Tech,False,,,,1525,61,130,3,3,PREGAME_SAFE
2018,3,Louisville,False,,,,1625,36,130,3,3,PREGAME_SAFE
2018,3,Marshall,False,,,,1482,67,130,3,3,PREGAME_SAFE
2018,3,Maryland,False,,,,1408,84,130,3,3,PREGAME_SAFE
2018,3,Massachusetts,False,,,,1269,112,130,3,3,PREGAME_SAFE
2018,3,Memphis,False,,,,1717,20,130,3,3,PREGAME_SAFE
2018,3,Miami,True,21,299,0,1658,30,130,3,3,PREGAME_SAFE
2018,3,Miami (OH),False,,,,1319,103,130,3,3,PREGAME_SAFE
2018,3,Michigan,True,19,385,0,1804,13,130,3,3,PREGAME_SAFE
2018,3,Michigan State,True,25,104,0,1623,37,130,3,3,PREGAME_SAFE
2018,3,Middle Tennessee,False,,,,1347,100,130,3,3,PREGAME_SAFE
2018,3,Minnesota,False,,,,1588,45,130,3,3,PREGAME_SAFE
2018,3,Mississippi,False,,,,1574,49,130,3,3,PREGAME_SAFE
2018,3,Mississippi State,True,16,654,0,1739,19,130,3,3,PREGAME_SAFE
2018,3,Missouri,False,,,,1670,27,130,3,3,PREGAME_SAFE
2018,3,NC State,False,,,,1695,24,130,3,3,PREGAME_SAFE
2018,3,Navy,False,,,,1558,54,130,3,3,PREGAME_SAFE
2018,3,Nebraska,False,,,,1398,88,130,3,3,PREGAME_SAFE
2018,3,Nevada,False,,,,1319,103,130,3,3,PREGAME_SAFE
2018,3,New Mexico,False,,,,1257,114,130,3,3,PREGAME_SAFE
2018,3,New Mexico State,False,,,,1115,124,130,3,3,PREGAME_SAFE
2018,3,North Carolina,False,,,,1380,94,130,3,3,PREGAME_SAFE
2018,3,North Texas,False,,,,1397,89,130,3,3,PREGAME_SAFE
2018,3,Northern Illinois,False,,,,1461,73,130,3,3,PREGAME_SAFE
2018,3,Northwestern,False,,,,1651,31,130,3,3,PREGAME_SAFE
2018,3,Notre Dame,True,8,1022,0,1707,21,130,3,3,PREGAME_SAFE
2018,3,Ohio,False,,,,1606,42,130,3,3,PREGAME_SAFE
2018,3,Ohio State,True,4,1288,0,2022,2,130,3,3,PREGAME_SAFE
2018,3,Oklahoma,True,5,1263,0,2004,4,130,3,3,PREGAME_SAFE
2018,3,Oklahoma State,True,24,119,0,1832,10,130,3,3,PREGAME_SAFE
2018,3,Old Dominion,False,,,,1155,120,130,3,3,PREGAME_SAFE
2018,3,Oregon,True,20,301,0,1665,28,130,3,3,PREGAME_SAFE
2018,3,Oregon State,False,,,,1181,119,130,3,3,PREGAME_SAFE
2018,3,Penn State,True,11,836,0,2005,3,130,3,3,PREGAME_SAFE
2018,3,Pittsburgh,False,,,,1470,71,130,3,3,PREGAME_SAFE
2018,3,Purdue,False,,,,1550,57,130,3,3,PREGAME_SAFE
2018,3,Rice,False,,,,1147,121,130,3,3,PREGAME_SAFE
2018,3,Rutgers,False,,,,1233,116,130,3,3,PREGAME_SAFE
2018,3,SMU,False,,,,1289,109,130,3,3,PREGAME_SAFE
2018,3,San Diego State,False,,,,1552,56,130,3,3,PREGAME_SAFE
2018,3,San José State,False,,,,1007,130,130,3,3,PREGAME_SAFE
2018,3,South Alabama,False,,,,1191,118,130,3,3,PREGAME_SAFE
2018,3,South Carolina,False,,,,1597,44,130,3,3,PREGAME_SAFE
2018,3,South Florida,False,,,,1665,28,130,3,3,PREGAME_SAFE
2018,3,Southern Miss,False,,,,1412,83,130,3,3,PREGAME_SAFE
2018,3,Stanford,True,9,992,0,1812,12,130,3,3,PREGAME_SAFE
2018,3,Syracuse,False,,,,1392,91,130,3,3,PREGAME_SAFE
2018,3,TCU,True,15,678,0,1748,18,130,3,3,PREGAME_SAFE
2018,3,Temple,False,,,,1508,64,130,3,3,PREGAME_SAFE
2018,3,Tennessee,False,,,,1367,98,130,3,3,PREGAME_SAFE
2018,3,Texas,False,,,,1623,37,130,3,3,PREGAME_SAFE
2018,3,Texas A&M,False,,,,1622,39,130,3,3,PREGAME_SAFE
2018,3,Texas State,False,,,,1070,128,130,3,3,PREGAME_SAFE
2018,3,Texas Tech,False,,,,1477,69,130,3,3,PREGAME_SAFE
2018,3,Texas-San Antonio,False,,,,1286,110,130,3,3,PREGAME_SAFE
2018,3,Toledo,False,,,,1564,51,130,3,3,PREGAME_SAFE
2018,3,Troy,False,,,,1496,66,130,3,3,PREGAME_SAFE
2018,3,Tulane,False,,,,1393,90,130,3,3,PREGAME_SAFE
2018,3,Tulsa,False,,,,1439,77,130,3,3,PREGAME_SAFE
2018,3,UAB,False,,,,1311,105,130,3,3,PREGAME_SAFE
2018,3,UCF,True,18,494,0,1780,14,130,3,3,PREGAME_SAFE
2018,3,UCLA,False,,,,1424,80,130,3,3,PREGAME_SAFE
2018,3,UL Monroe,False,,,,1297,108,130,3,3,PREGAME_SAFE
2018,3,UNLV,False,,,,1378,95,130,3,3,PREGAME_SAFE
2018,3,USC,True,22,250,0,1707,21,130,3,3,PREGAME_SAFE
2018,3,UTEP,False,,,,1040,129,130,3,3,PREGAME_SAFE
2018,3,Utah,False,,,,1634,34,130,3,3,PREGAME_SAFE
2018,3,Utah State,False,,,,1580,48,130,3,3,PREGAME_SAFE
2018,3,Vanderbilt,False,,,,1560,53,130,3,3,PREGAME_SAFE
2018,3,Virginia,False,,,,1377,96,130,3,3,PREGAME_SAFE
2018,3,Virginia Tech,True,13,794,0,1775,15,130,3,3,PREGAME_SAFE
2018,3,Wake Forest,False,,,,1588,45,130,3,3,PREGAME_SAFE
2018,3,Washington,True,10,884,0,1828,11,130,3,3,PREGAME_SAFE
2018,3,Washington State,False,,,,1629,35,130,3,3,PREGAME_SAFE
2018,3,West Virginia,True,14,793,0,1612,41,130,3,3,PREGAME_SAFE
2018,3,Western Kentucky,False,,,,1401,86,130,3,3,PREGAME_SAFE
2018,3,Western Michigan,False,,,,1391,92,130,3,3,PREGAME_SAFE
2018,3,Wisconsin,True,6,1227,1,1902,6,130,3,3,PREGAME_SAFE
2018,3,Wyoming,False,,,,1455,74,130,3,3,PREGAME_SAFE
2018,4,Air Force,False,,,,1443,79,130,4,4,PREGAME_SAFE
2018,4,Akron,False,,,,1315,106,130,4,4,PREGAME_SAFE
2018,4,Alabama,True,1,1521,58,2237,1,130,4,4,PREGAME_SAFE
2018,4,App State,False,,,,1696,23,130,4,4,PREGAME_SAFE
2018,4,Arizona,False,,,,1436,80,130,4,4,PREGAME_SAFE
2018,4,Arizona State,False,,,,1600,42,130,4,4,PREGAME_SAFE
2018,4,Arkansas,False,,,,1368,97,130,4,4,PREGAME_SAFE
2018,4,Arkansas State,False,,,,1496,67,130,4,4,PREGAME_SAFE
2018,4,Army,False,,,,1549,58,130,4,4,PREGAME_SAFE
2018,4,Auburn,True,9,958,0,1836,10,130,4,4,PREGAME_SAFE
2018,4,BYU,True,25,75,0,1454,77,130,4,4,PREGAME_SAFE
2018,4,Ball State,False,,,,1073,127,130,4,4,PREGAME_SAFE
2018,4,Baylor,False,,,,1452,78,130,4,4,PREGAME_SAFE
2018,4,Boise State,False,,,,1780,14,130,4,4,PREGAME_SAFE
2018,4,Boston College,True,23,130,0,1681,27,130,4,4,PREGAME_SAFE
2018,4,Bowling Green,False,,,,1143,121,130,4,4,PREGAME_SAFE
2018,4,Buffalo,False,,,,1411,85,130,4,4,PREGAME_SAFE
2018,4,California,False,,,,1556,54,130,4,4,PREGAME_SAFE
2018,4,Central Michigan,False,,,,1299,107,130,4,4,PREGAME_SAFE
2018,4,Charlotte,False,,,,1099,123,130,4,4,PREGAME_SAFE
2018,4,Cincinnati,False,,,,1383,90,130,4,4,PREGAME_SAFE
2018,4,Clemson,True,3,1405,3,1922,6,130,4,4,PREGAME_SAFE
2018,4,Coastal Carolina,False,,,,1324,102,130,4,4,PREGAME_SAFE
2018,4,Colorado,False,,,,1572,49,130,4,4,PREGAME_SAFE
2018,4,Colorado State,False,,,,1317,105,130,4,4,PREGAME_SAFE
2018,4,Connecticut,False,,,,1098,124,130,4,4,PREGAME_SAFE
2018,4,Duke,False,,,,1681,27,130,4,4,PREGAME_SAFE
2018,4,East Carolina,False,,,,1326,100,130,4,4,PREGAME_SAFE
2018,4,Eastern Michigan,False,,,,1427,81,130,4,4,PREGAME_SAFE
2018,4,Florida,False,,,,1600,42,130,4,4,PREGAME_SAFE
2018,4,Florida Atlantic,False,,,,1531,60,130,4,4,PREGAME_SAFE
2018,4,Florida International,False,,,,1470,74,130,4,4,PREGAME_SAFE
2018,4,Florida State,False,,,,1522,62,130,4,4,PREGAME_SAFE
2018,4,Fresno State,False,,,,1566,50,130,4,4,PREGAME_SAFE
2018,4,Georgia,True,2,1416,0,1957,5,130,4,4,PREGAME_SAFE
2018,4,Georgia Southern,False,,,,1380,91,130,4,4,PREGAME_SAFE
2018,4,Georgia State,False,,,,1219,114,130,4,4,PREGAME_SAFE
2018,4,Georgia Tech,False,,,,1536,59,130,4,4,PREGAME_SAFE
2018,4,Hawai'i,False,,,,1359,99,130,4,4,PREGAME_SAFE
2018,4,Houston,False,,,,1594,45,130,4,4,PREGAME_SAFE
2018,4,Illinois,False,,,,1321,103,130,4,4,PREGAME_SAFE
2018,4,Indiana,False,,,,1584,46,130,4,4,PREGAME_SAFE
2018,4,Iowa,False,,,,1765,19,130,4,4,PREGAME_SAFE
2018,4,Iowa State,False,,,,1645,31,130,4,4,PREGAME_SAFE
2018,4,Kansas,False,,,,1370,96,130,4,4,PREGAME_SAFE
2018,4,Kansas State,False,,,,1610,41,130,4,4,PREGAME_SAFE
2018,4,Kent State,False,,,,1083,126,130,4,4,PREGAME_SAFE
2018,4,Kentucky,False,,,,1510,64,130,4,4,PREGAME_SAFE
2018,4,LSU,True,6,1241,0,1778,16,130,4,4,PREGAME_SAFE
2018,4,Liberty,False,,,,1474,72,130,4,4,PREGAME_SAFE
2018,4,Louisiana,False,,,,1162,118,130,4,4,PREGAME_SAFE
2018,4,Louisiana Tech,False,,,,1525,61,130,4,4,PREGAME_SAFE
2018,4,Louisville,False,,,,1623,35,130,4,4,PREGAME_SAFE
2018,4,Marshall,False,,,,1482,68,130,4,4,PREGAME_SAFE
2018,4,Maryland,False,,,,1366,98,130,4,4,PREGAME_SAFE
2018,4,Massachusetts,False,,,,1170,117,130,4,4,PREGAME_SAFE
2018,4,Memphis,False,,,,1766,18,130,4,4,PREGAME_SAFE
2018,4,Miami,True,21,362,0,1714,21,130,4,4,PREGAME_SAFE
2018,4,Miami (OH),False,,,,1291,109,130,4,4,PREGAME_SAFE
2018,4,Michigan,True,19,448,0,1814,11,130,4,4,PREGAME_SAFE
2018,4,Michigan State,True,24,86,0,1623,35,130,4,4,PREGAME_SAFE
2018,4,Middle Tennessee,False,,,,1296,108,130,4,4,PREGAME_SAFE
2018,4,Minnesota,False,,,,1616,38,130,4,4,PREGAME_SAFE
2018,4,Mississippi,False,,,,1482,68,130,4,4,PREGAME_SAFE
2018,4,Mississippi State,True,14,790,0,1808,13,130,4,4,PREGAME_SAFE
2018,4,Missouri,False,,,,1667,29,130,4,4,PREGAME_SAFE
2018,4,NC State,False,,,,1695,24,130,4,4,PREGAME_SAFE
2018,4,Navy,False,,,,1558,53,130,4,4,PREGAME_SAFE
2018,4,Nebraska,False,,,,1396,87,130,4,4,PREGAME_SAFE
2018,4,Nevada,False,,,,1318,104,130,4,4,PREGAME_SAFE
2018,4,New Mexico,False,,,,1283,110,130,4,4,PREGAME_SAFE
2018,4,New Mexico State,False,,,,1089,125,130,4,4,PREGAME_SAFE
2018,4,North Carolina,False,,,,1380,91,130,4,4,PREGAME_SAFE
2018,4,North Texas,False,,,,1477,71,130,4,4,PREGAME_SAFE
